愛,アイ
教場,キョウジョウ
矯正,キョウセイ
兄弟分,キョウダイブン
教頭,キョウトウ
郷里,キョウリ
虚偽,キョギ
局,キョク
極,キョク
許諾,キョダク
去年,キョネン
距離,キョリ
きょろきょろ,キョロキョロ
清,キヨシ
嫌い,キライ
気楽,キラク
切り下げ,キリサゲ
規律,キリツ
起立,キリツ
切り身,キリミ
切れ,キレ
奇麗,キレイ
帰路,キロ
金,キン
金側,キンガワ
金魚,キンギョ
禁錮,キンコ
近所,キンジョ
禁足,キンソク
巾着切,キンチャクキリ
謹聴,キンチョウ
謹直,キンチョク
金鍔,キンツバ
金時,キントキ
近辺,キンペン
近来,キンライ
儀,ギ
技手,ギシュ
ぎそう,ギソウ
義太夫,ギダユウ
偽筆,ギヒツ
義務,ギム
逆,ギャク
牛肉,ギュウニク
牛乳,ギュウニュウ
仰山,ギョウサン
仰天,ギョウテン
漁村,ギョソン
切り,ギリ
義理,ギリ
義理立て,ギリダテ
妓楼,ギロウ
議論,ギロン
銀,ギン
銀貨,ギンカ
銀行,ギンコウ
句,ク
苦,ク
食い物,クイモノ
空中,クウチュウ
括り枕,ククリマクラ
草,クサ
くさび,クサビ
鎖,クサリ
くし,クシ
苦情,クジョウ
薬,クスリ
薬師,クズシ
癖,クセ
曲者,クセモノ
糞,クソ
下り,クダリ
行,クダリ
口,クチ
口癖,クチグセ
口取,クチトリ
屈伏,クップク
靴,クツ
区点,クテン
句読,クトウ
国,クニ
首,クビ
工夫,クフウ
区別,クベツ
組,クミ
雲,クモ
くら,クラ
暮し向き,クラシムキ
比べ,クラベ
比べ物,クラベモノ
栗,クリ
車,クルマ
車屋,クルマヤ
暮,クレ
黒,クロ
苦労,クロウ
黒白,クロシロ
君,クン
君子,クンシ
具,グ
愚,グ
具合,グアイ
偶然,グウゼン
愚図,グズ
ぐち,グチ
口,グチ
ぐる,グル
ぐるみ,グルミ
愚弄,グロウ
軍,グン
軍歌,グンカ
兄,ケイ
計,ケイ
軽,ケイ
敬愛,ケイアイ
計画,ケイカク
景気,ケイキ
経験,ケイケン
稽古,ケイコ
警察,ケイサツ
形式,ケイシキ
系図,ケイズ
軽躁,ケイソウ
境内,ケイダイ
軽薄,ケイハク
刑罰,ケイバツ
軽侮,ケイブ
軽蔑,ケイベツ
形容,ケイヨウ
鶏卵,ケイラン
計略,ケイリャク
怪我,ケガ
けさ,ケサ
今朝,ケサ
景色,ケシキ
毛繻子,ケジュス
けた,ケタ
けち,ケチ
けちん坊,ケチンボウ
結果,ケッカ
血気,ケッキ
欠勤,ケッキン
結構,ケッコウ
結婚,ケッコン
決心,ケッシン
欠席,ケッセキ
決戦,ケッセン
ケット,ケット
潔白,ケッパク
欠,ケツ
決断,ケツダン
烟,ケムリ
件,ケン
兼,ケン
建,ケン
権,ケン
県,ケン
間,ケン
険,ケン
験,ケン
喧嘩,ケンカ
検査,ケンサ
献酬,ケンシュウ
謙遜,ケンソン
建築,ケンチク
県庁,ケンチョウ
見当,ケントウ
剣呑,ケンノン
