お気に入り,オキニイリ
お客,オキャク
お客様,オキャクサマ
お侠,オキャン
奥方,オクガタ
奥様,オクサマ
奥さん,オクサン
奥底,オクソコ
奥付,オクヅケ
奥歯,オクバ
おくび,オクビ
臆病者,オクビョウモノ
おくら,オクラ
送仮名,オクリガナ
お稽古,オケイコ
おこ,オコ
烏滸,オコ
起し,オコシ
おこた,オコタ
お断り,オコトワリ
起り,オコリ
おご,オゴ
押え,オサエ
長方,オサカタ
お先,オサキ
お産,オサン
お座敷,オザシキ
おし,オシ
押し,オシ
押し合い,オシアイ
押上,オシアゲ
教え,オシエ
押し借り,オシガリ
お仕着せ,オシキセ
押込,オシゴメ
お七,オシチ
押しつけ,オシツケ
押付,オシツケ
おしまい,オシマイ
惜しみ,オシミ
お釈迦,オシャカ
お釈迦様,オシャカサマ
和尚,オショウ
おしろい,オシロイ
白粉,オシロイ
お爺さん,オジイサン
お辞儀,オジギ
オジサン,オジサン
お嬢さん,オジョウサン
汚水,オスイ
おすすめ,オススメ
お世話,オセワ
汚染,オセン
お側,オソバ
恐れ,オソレ
お太鼓,オタイコ
お互い,オタガイ
お尋ね,オタズネ
オタマジャクシ,オタマジャクシ
お陀仏,オダブツ
穏やか,オダヤカ
落ち,オチ
お力,オチカラ
落ち込み,オチコミ
お茶,オチャ
追手,オッテ
おつもり,オツモリ
お手数,オテカズ
お手の物,オテノモノ
お手本,オテホン
お寺,オテラ
おと,オト
お父さん,オトウサン
お伽,オトギ
男一匹,オトコイッピキ
男の子,オトコノコ
音沙汰,オトサタ
落し,オトシ
落し穴,オトシアナ
おととい,オトトイ
一昨日,オトトイ
おととし,オトトシ
おとな,オトナ
大人,オトナ
お隣,オトナリ
乙女,オトメ
お伴,オトモ
踊り,オドリ
踊り字,オドリジ
驚き,オドロキ
お腹,オナカ
お慰み,オナグサミ
おなじ,オナジ
お願い,オネガイ
おの,オノ
オノ,オノ
小野,オノ
おのおの,オノオノ
おのれ,オノレ
お話,オハナシ
お話し,オハナシ
おば,オバ
伯母,オバ
お婆さん,オバアサン
お引き受け,オヒキウケ
お引受け,オヒキウケ
お雛様,オヒナサマ
お昼,オヒル
帯締め,オビジメ
おふくろ,オフクロ
汚物,オブツ
オブラート,オブラート
御返事,オヘンジ
覚え,オボエ
思召,オボシメシ
溺れ死,オボレジニ
お前,オマエ
おまけ,オマケ
お待ち,オマチ
お守り,オマモリ
お見舞,オミマイ
お迎え,オムカエ
オムレツ,オムレツ
汚名,オメイ
お召,オメシ
おめでた,オメデタ
お目見得,オメミエ
思い,オモイ
思い違い,オモイチガイ
思い付き,オモイツキ
思い出,オモイデ
面影,オモカゲ
重き,オモキ
面白,オモシロ
オモチャ,オモチャ
玩具,オモチャ
表口,オモテグチ
表向き,オモテムキ
おもと,オモト
重荷,オモニ
おもや,オモヤ
思惑,オモワク
親代り,オヤガワリ
親子,オヤコ
おやじ,オヤジ
親父,オヤジ
親達,オヤタチ
お許し,オユルシ
泳ぎ,オヨギ
お呼び,オヨビ
おり,オリ
オリ,オリ
折ふし,オリフシ
折節,オリフシ
折目,オリメ
織物,オリモノ
おれ,オレ
お礼,オレイ
おろか,オロカ
愚か,オロカ
下し,オロシ
お詫び,オワビ
お笑い,オワライ
終り,オワリ
おん,オン
音楽,オンガク
恩給,オンキュウ
音響,オンキョウ
御行,オンコウ
温厚,オンコウ
御事,オンコト
遠国,オンゴク
恩師,オンシ
恩賜,オンシ
音信,オンシン
温柔,オンジュウ
温泉,オンセン
音調,オンチョウ
怨敵,オンテキ
温度,オンド
おんな,オンナ
おんなじ,オンナジ
女たらし,オンナタラシ
女出入り,オンナデイリ
女文字,オンナモジ
乳母,オンバ
音波,オンパ
御身,オンミ
怨霊,オンリョウ
温和,オンワ
オートバイ,オートバイ
オーバー,オーバー
かい,カイ
甲斐,カイ
怪異,カイイ
階下,カイカ
快感,カイカン
開巻,カイカン
絵画,カイガ
海外,カイガイ
海岸,カイガン
怪奇,カイキ
階級,カイキュウ
会議,カイギ
諧謔,カイギャク
解決,カイケツ
会見,カイケン
回顧,カイコ
飼い殺し,カイゴロシ
改札,カイサツ
開山,カイサン
開始,カイシ
会社,カイシャ
解釈,カイシャク
楷書,カイショ
解消,カイショウ
会心,カイシン
解除,カイジョ
階上,カイジョウ
怪人,カイジン
海水,カイスイ
開設,カイセツ
回想,カイソウ
海藻,カイソウ
快速,カイソク
改造,カイゾウ
開拓,カイタク
怪談,カイダン
階段,カイダン
懐中,カイチュウ
海中,カイチュウ
懐中時計,カイチュウドケイ
かいてい,カイテイ
海底,カイテイ
階梯,カイテイ
快適,カイテキ
回転,カイテン
廻転,カイテン
回答,カイトウ
解答,カイトウ
街道,カイドウ
灰白色,カイハクショク
回避,カイヒ
開闢,カイビャク
回復,カイフク
恢復,カイフク
怪物,カイブツ
介抱,カイホウ
解放,カイホウ
解剖,カイボウ
開幕,カイマク
海綿,カイメン
買物,カイモノ
かいよう,カイヨウ
壊乱,カイラン
貝類,カイルイ
偕老同穴,カイロウドウケツ
会話,カイワ
かいわい,カイワイ
界隈,カイワイ
換え,カエ
返し,カエシ
替玉,カエダマ
帰り,カエリ
帰りがけ,カエリガケ
帰り道,カエリミチ
火焔,カエン
かお,カオ
顔色,カオイロ
家屋,カオク
顔立ち,カオダチ
顔つき,カオツキ
顔付き,カオツキ
顔負け,カオマケ
かおり,カオリ
呵々,カカ
抱え,カカエ
かかし,カカシ
案山子,カカシ
かかと,カカト
かかり,カカリ
係り,カカリ
掛り,カカリ
係官,カカリカン
果敢,カカン
加害,カガイ
化学,カガク
科学,カガク
輝き,カガヤキ
かき,カキ
下記,カキ
書換え,カキカエ
書込み,カキコミ
書き初め,カキゾメ
書付,カキツケ
稼業,カギョウ
かぎり,カギリ
限り,カギリ
かく,カク
隔意,カクイ
架空,カクウ
角形,カクガタ
格言,カクゲン
各項,カクコウ
覚悟,カクゴ
隠し,カクシ
隠し立て,カクシダテ
各種,カクシュ
確証,カクショウ
核心,カクシン
確信,カクシン
各自,カクジ
確実,カクジツ
覚醒,カクセイ
隔世,カクセイ
拡大,カクダイ
各地,カクチ
確定,カクテイ
格闘,カクトウ
獲得,カクトク
角度,カクド
確認,カクニン
各部,カクブ
格別,カクベツ
角帽,カクボウ
隔膜,カクマク
革命,カクメイ
かくらん,カクラン
攪乱,カクラン
隠れ,カクレ
隠れ家,カクレガ
家具,カグ
かけ,カケ
欠け,カケ
家系,カケイ
火刑,カケイ
掛金,カケキン
掛軸,カケジク
掛け値,カケネ
ヶ月,カゲツ
個月,カゲツ
箇月,カゲツ
影法師,カゲボウシ
影身,カゲミ
加減,カゲン
過去,カコ
下降,カコウ
箇国,カコク
囲み,カコミ
化合,カゴウ
過言,カゴン
かさ,カサ
カサカサ,カサカサ
家財,カザイ
風上,カザカミ
飾り,カザリ
かし,カシ
カシ,カシ
仮死,カシ
菓子,カシ
かしく,カシク
かしこ,カシコ
過失,カシツ
貸家,カシヤ
個所,カショ
箇所,カショ
かしょう,カショウ
嘉賞,カショウ
華燭,カショク
頭文字,カシラモジ
火事,カジ
過重,カジュウ
箇条,カジョウ
過剰,カジョウ
家人,カジン
かす,カス
カス,カス
微か,カスカ
カステラ,カステラ
数々,カズカズ
加勢,カセイ
火勢,カセイ
火星,カセイ
化石,カセキ
稼ぎ,カセギ
かぜ,カゼ
風邪,カゼ
下層,カソウ
仮想,カソウ
仮装,カソウ
家相,カソウ
火葬,カソウ
家族,カゾク
華族,カゾク
かた,カタ
片足,カタアシ
片仮名,カタカナ
かたがた,カタガタ
方々,カタガタ
片側,カタガワ
かたぎ,カタギ
肩ごし,カタゴシ
片隅,カタスミ
かたち,カタチ
かたっぱし,カタッパシ
片手,カタテ
片手落ち,カタテオチ
片手間,カタテマ
かたは,カタハ
肩幅,カタハバ
固まり,カタマリ
形見,カタミ
片道,カタミチ
傾き,カタムキ
語り,カタリ
片端,カタワ
片脇,カタワキ
かたわら,カタワラ
傍ら,カタワラ
価値,カチ
カチカチ,カチカチ
カチカチ山,カチカチヤマ
勝気,カチキ
カチューシャ,カチューシャ
カッカ,カッカ
閣下,カッカ
かっこ,カッコ
各個,カッコ
確乎,カッコ
恰好,カッコウ
各国,カッコク
喝采,カッサイ
かっしゃ,カッシャ
褐色,カッショク
かったつ,カッタツ
勝手,カッテ
勝手口,カッテグチ
勝手次第,カッテシダイ
葛藤,カットウ
かっぱ,カッパ
合羽,カッパ
喝破,カッパ
河童,カッパ
活溌,カッパツ
活版,カッパン
闊歩,カッポ
かつ,カツ
かつごう,カツゴウ
渇仰,カツゴウ
活字,カツジ
活動,カツドウ
活弁,カツベン
渇望,カツボウ
活躍,カツヤク
活力,カツリョク
かづ,カヅ
仮定,カテイ
家庭,カテイ
過程,カテイ
過渡,カト
下等,カトウ
門口,カドグチ
かな,カナ
家内,カナイ
金切声,カナキリゴエ
金具,カナグ
悲しみ,カナシミ
金杉,カナスギ
かなた,カナタ
彼方,カナタ
カナメ,カナメ
かなり,カナリ
かに,カニ
加入,カニュウ
かね,カネ
金ずく,カネズク
金光,カネミツ
金儲け,カネモウケ
金持ち,カネモチ
ヶ年,カネン
箇年,カネン
カノ,カノ
可能,カノウ
彼女,カノジョ
過般,カハン
